Id,Foi_id,Networksize(=Number_leafs),Number_flows,Number_nesting_tree_nodes,Max_deg,Avg_deg,Level_nesting,Balanced,LUDB_FF_delay,LUDB_FF_ctime,SFA_FIFO_delay,SFA_FIFO_ctime,GS_FF_Simple_g_2_delay,GS_FF_Simple_g_2_ctime,GS_FF_Simple_g_3_delay,GS_FF_Simple_g_3_ctime,GS_FF_Simple_g_4_delay,GS_FF_Simple_g_4_ctime
0,5,6,6,12,2,1.833,5,FALSE,1.6026152448559667,661355629,5.447049904266667,17940201,4.378600823045266,31697198,2.645404663923182,1060592,2.378888446391433,998094
1,9,11,10,21,4,2,4,FALSE,3.0320605730577337,2182284681,8.015909332086443,38454403,6.1350337711706215,112571371,5.781802599871026,38085840,4.7592969713425886,1066280198
2,13,18,14,32,4,2.214,5,FALSE,3.667293028275587,102184114255,31.615526150217672,1229051228,9.48392074870569,1039575836,9.355129098632679,664274560,6.791749634939596,131549801281
4,8,8,9,17,3,1.778,5,FALSE,2.197495823045267,1845830415,8.488075386782667,918404,5.639403292181068,12566884,3.5234053497942384,10885169,2.8180727023319614,11768793
5,2,2,3,5,2,1.333,2,TRUE,1.854761904761905,20613314,1.854761904761905,45806,2.7142857142857144,174026,2.7142857142857144,107592,1.8956916099773244,108433
6,0,1,1,2,1,1,1,TRUE,0.9500000000000001,67347,0.9500000000000001,49913,0.9500000000000001,70372,0.9500000000000001,4348,0.9500000000000001,4378
8,13,16,14,30,5,2.071,4,FALSE,4.202605298204528,9392593064,21.012380846987064,61587121,8.41015850388623,724729008,7.542315785900961,618060638,6.140622701919922,122279889666
9,10,17,11,28,5,2.455,4,FALSE,3.4336989703356755,4169067001,56.700165351374146,411892676,7.3348267318331475,68504760,5.929318127821336,66551979,5.315091834661701,3862000309
11,6,8,7,15,4,2,4,FALSE,2.282817819672131,632492283,4.883140228021373,466596,5.035196687370601,2543244,3.874741200828158,2405035,3.3470171627691236,3212964
12,3,6,4,10,3,2.25,3,FALSE,1.6604406341463414,54971627,3.612477539047886,234781,3.0543237250554323,358012,2.453991130820399,228970,2.17504871329705,620235
15,4,5,5,10,3,1.8,4,FALSE,1.6313528788310772,204297640,3.5862998959748644,229621,3.8731290092658592,767721,2.2733583315256127,418195,2.6481858602314774,1885842
17,11,13,12,25,5,2,6,FALSE,2.441601177821781,12723917620,19.563689507548876,93458914,6.832475247524753,175745582,4.236134653465347,128071090,3.6241471464219597,140003435
18,7,9,8,17,3,2,5,FALSE,2.043763021090535,1481205153,12.979594164226825,5346237,5.4048353909465,5706472,3.2654213820301785,4967827,2.9555345369264128,5781327
19,8,12,9,21,5,2.222,5,FALSE,2.1874194115226344,1319983403,11.503522545757239,12398416,5.2680041152263355,14392000,3.337705761316872,13049834,3.4509436258241513,14196555
20,11,11,12,23,4,1.833,6,FALSE,2.4895889998164678,21229082900,9.944034180790842,11535295,6.919652257908717,131376966,4.290184399903405,119340175,4.247459129188179,130207274
21,4,6,5,11,4,2,3,FALSE,2.091582497782705,91357419,6.006411615693977,759466,3.917960088691796,639120,2.885809312638581,446949,2.7900624874017335,1914396
22,4,5,5,10,4,1.8,3,FALSE,1.977107300813008,70996960,2.5472474747474747,149090,3.5177383592017737,547869,3.149113082039911,511210,2.5628233555062825,1964610
23,7,10,8,18,4,2.125,4,FALSE,2.7167353563791883,1342637361,8.924238023367,5897182,6.351389878831077,6184730,6.351389878831077,95028468,4.471759919220718,94957909
24,14,13,15,28,4,1.8,6,FALSE,3.008428296642556,144268602456,11.983005786054813,18629493,7.173658536585364,1308950931,5.208780487804877,1199279229,5.289399922570653,357044357460
25,10,11,11,22,4,1.909,6,FALSE,2.274194821518152,11630590763,10.013012578972608,19705945,5.917300169041295,62954791,3.88547935281333,58475486,3.594384609192627,93543950
26,13,19,14,33,5,2.286,5,FALSE,3.719232028275587,142143311843,41.560994532776405,484004297,9.023363479758826,723567179,6.851905684754521,684343561,6.642198117044693,132854447813
27,14,18,15,33,7,2.133,4,FALSE,4.281118337270474,10454373313,56.80841075950466,206745754,10.075552387740554,1379684577,6.283677833214538,1288609237,7.301124918652577,381832906307
28,10,14,11,25,5,2.182,5,FALSE,2.6515056129032253,3544145009,10.979420803401641,13899675,5.65327558741537,67296982,4.82803166069295,67133382,4.120386964024957,3696781037
30,9,9,10,19,5,1.8,4,FALSE,3.0497304376336425,1525865904,6.760029709237805,684004,6.367834232766522,24303046,5.304916335743136,22383929,4.614372632439508,867015936
34,1,3,2,5,3,2,2,TRUE,1.1756250000000001,13308374,1.379761904761905,46567,1.8095238095238098,88536,1.379761904761905,41337,1.2637944066515496,48211
35,8,10,9,19,4,2,4,FALSE,2.738154245188881,983253932,6.44246788564238,1697096,5.541747276244782,12670458,4.891872857482266,11556960,4.015758895829553,301110286
37,6,10,7,17,4,2.286,5,FALSE,1.807419411522634,756780312,6.213456481326747,3363745,4.613168724279834,2926023,2.7871227709190673,2594241,2.6916456480375235,3303976
38,11,15,12,27,5,2.167,5,FALSE,2.889597514137794,9881095246,10.61738403796168,37320334,6.21731050046462,149518134,5.25381654055489,143050927,4.576631340619791,12271386154
42,9,11,10,21,4,2,6,FALSE,2.1015709234173414,6530527265,12.526466469629169,5564526,5.884356435643564,29598979,3.6483009900990098,28650064,3.0328117201964098,28223959
43,12,18,13,31,6,2.308,4,FALSE,3.9823825730577345,8916298724,32.094506544675184,164709688,8.705189559786852,335833730,8.705189559786852,41202380369,7.47207797350349,41250973244
45,7,14,8,22,4,2.625,4,FALSE,2.483085163221668,796822190,21.98995533039459,55224687,5.346672097206667,7026853,4.0304789057461905,6662740,3.8744000704396138,110333328
47,4,8,5,13,4,2.4,4,FALSE,1.6489217576621529,281721599,8.124630768228283,800012,4.130434782608696,599275,2.4243856332703215,506621,1.9997624138750298,525878
48,13,14,14,28,4,1.929,5,FALSE,3.4603411705163944,45649115171,18.49147414171131,54598301,7.788245286630297,594680799,7.559927983539093,564907257,5.661299326889334,112312131840
49,10,13,11,24,4,2.091,4,FALSE,3.4292353563791886,2554980743,16.531230608345677,14681442,7.543121881682111,62883817,7.543121881682111,3479978211,5.963174150629603,3494827195
50,5,6,6,12,4,1.833,3,FALSE,2.4082491644493715,124095148,3.645201178451178,140012,4.381374722838137,1039982,3.580931263858093,1050814,3.120069878384734,6740100
52,14,24,15,39,6,2.533,4,FALSE,4.549027847469708,24308913000,146.49927727592063,14086934246,9.983657468689543,1552455287,9.983657468689543,439261014268,8.776770865152903,445266559476
53,13,14,14,28,4,1.929,7,FALSE,2.506253363032927,178303374829,17.292581712312174,116475386,7.039920648902026,628589229,4.628593203072938,606000228,3.827822114530445,658686432
54,12,17,13,30,4,2.231,6,FALSE,2.654412765757064,34794180331,28.864148348974595,216109636,7.250741366819608,310257997,4.495459647428158,297566302,4.301087920638754,296550604
59,12,15,13,28,5,2.077,6,FALSE,2.7437846566916195,172085407036,47.21087220313169,222632751,8.460758270949045,295248176,5.245670127988409,281146232,4.271455020066466,285293739
61,14,17,15,32,5,2.067,5,FALSE,3.8976736563786005,125634084825,16.045236251709813,108121904,9.52568427600727,1420411862,9.52568427600727,406825332728,8.5870338469391,405137048028
62,13,18,14,32,6,2.214,5,FALSE,3.3008018223981144,34219390177,53.234769418019845,869944653,8.570398579583165,674730074,5.177949141831497,643910069,6.182734855524579,126482768687
63,2,4,3,7,3,2,3,FALSE,1.2825880909090912,36031940,2.0141919191919193,71985,2.590909090909091,195347,1.612121212121212,99396,1.7904656319290466,169718
64,7,9,8,17,4,2,4,FALSE,2.500654245188881,820383910,5.940625931787243,830679,5.230271866408716,5639638,4.424659742728168,5845263,3.7900520771077657,89257513
68,14,17,15,32,4,2.067,7,FALSE,2.6048459206014822,474194807193,36.88660384942699,941597752,7.822818892337606,1431933664,4.964481220137326,1364612156,4.438931598650688,1510991789
70,5,6,6,12,4,1.833,3,TRUE,2.293773967479675,75815993,3.7036965488215485,206488,3.9811529933481156,1041115,3.8442350332594235,945967,3.180709534368071,6430175
72,13,17,14,31,7,2.143,4,FALSE,4.220174380171741,22113690181,46.1158710444634,414327805,9.55578182805553,656652726,7.351271085768593,622284093,6.924479585547483,120086710953
74,5,8,6,14,4,2.167,3,FALSE,2.5407999674796744,152867195,6.378668040591096,453512,4.781596452328159,1214901,4.781596452328159,7652417,4.114560236511456,7684952
75,14,16,15,31,6,2,5,FALSE,3.5402423166069297,170407996094,87.2080531760115,435970997,10.946502057613166,1351743717,6.613511659807956,1249130408,5.169181527206217,1232785454
76,14,17,15,32,6,2.067,4,FALSE,4.787142127719513,97615021851,31.696875758039713,53380835,12.13399857448325,1344641516,10.766215253029223,1274886648,8.792752590205255,371827833115
77,10,14,11,25,4,2.182,5,FALSE,2.7148573166069294,5752292478,22.53041881659594,79826143,6.623705694942252,62848802,4.465775587415372,58708040,3.974727864064781,63733024
78,12,16,13,29,4,2.154,6,FALSE,2.8002309304065043,110983207749,25.99915786161445,230240515,7.4177337733773365,315705415,5.3481879616533075,313153229,4.30001781130494,416977134
81,8,13,9,22,4,2.333,5,FALSE,2.2438735141377935,2121952970,10.271960408563519,12930595,5.112256073277577,14446221,4.01650238948626,16578711,3.3990276118412313,36237471
82,7,11,8,19,4,2.25,5,FALSE,2.0352958347272,1225091866,7.954960910572225,3253318,5.2191358024691334,6214608,3.153227880658436,5732561,2.893634674100623,6589446
83,6,6,7,13,5,1.714,3,FALSE,2.7249158311160384,118780461,3.3443678451178456,120887,4.844789356984479,2153232,4.276053215077605,1966595,3.468588322246859,21575594
84,8,11,9,20,6,2.111,3,FALSE,3.6052751644493712,372101422,8.2026477602956,918574,6.572062084257205,12792085,6.572062084257205,312777544,6.171840354767182,349880644
85,9,15,10,25,7,2.4,4,FALSE,3.1786298883684627,2179387028,14.672293594946499,9210471,6.7415402369073085,32170587,5.039388385432577,30440456,4.885174084715441,1200827399
86,10,12,11,23,5,2,5,FALSE,2.666167415372361,3679100098,9.23901761299447,3415102,6.066606929510153,63754062,4.421794105933889,64300667,4.023596176821982,109995202
87,12,9,13,22,2,1.615,5,FALSE,3.2912086411788133,49216300333,13.188035734340225,3951209,8.59341397849462,240420966,5.216061827956988,228319881,5.68667687755272,235824735
89,8,9,9,18,4,1.889,4,FALSE,2.861490800563419,2985453180,13.68820409380622,3199287,7.434782608695653,11882528,4.363894139886579,10959713,5.194021739130435,291801150
90,14,17,15,32,6,2.067,5,FALSE,3.6254930443548377,46022378276,41.508342710133014,453197187,9.23327359617682,1393372894,5.578436131023497,1316073801,6.624651533253683,397618172209
91,13,23,14,37,5,2.571,5,FALSE,3.413538556966016,83816533818,129.8455775135093,29795633175,8.47155847603876,757416674,5.461585689632283,714446926,6.236008322639643,143868648783
93,9,16,10,26,4,2.5,6,FALSE,2.145251962692001,11297806681,39.017046423875954,452248748,6.037787973919342,34751082,3.743428543829993,31413916,3.4070640095368416,35908168
97,11,13,12,25,5,2,5,FALSE,2.936938127041019,12780638167,11.245332873377315,13366696,6.588709677419352,138193603,5.133064516129031,141531429,4.850022401433691,11583228480
98,6,9,7,16,7,2.143,4,FALSE,2.0846114098360657,229783860,3.382403362771739,194245,4.2387740555951545,2689039,3.36528866714184,2689773,2.970301734378713,27851624
99,8,11,9,20,5,2.111,3,FALSE,3.690465631929046,493429250,11.263028226176395,1622526,6.972283813747227,12526687,6.972283813747227,309275181,6.038433111603842,314254806
101,7,10,8,18,4,2.125,4,FALSE,2.4789133563791883,650240740,8.59694845134854,1728415,4.97296609306588,6789016,4.607482265892815,7899272,3.7786545837151686,99875641
107,9,16,10,26,8,2.5,6,FALSE,2.096108768976898,5515827033,24.173216715114467,110775940,5.884356435643564,33358287,3.6483009900990107,31234118,3.076400225388393,36984079
108,7,9,8,17,4,2,4,FALSE,2.5203178196721314,712562701,6.723431150998869,1369331,5.346672097206667,5445123,4.341954315582257,5269761,3.7623177092172115,87548967
111,7,10,8,18,3,2.125,5,FALSE,2.09998100449688,2945326979,12.722669445235836,8274705,5.662418691092523,6068262,3.4210446258684013,5638824,3.6549147574959564,6524887
112,14,20,15,35,5,2.267,5,FALSE,3.702084557613169,135195663075,46.65112594746786,905177512,8.497858646760454,1487966977,8.018380945545028,1431203759,6.602071171084951,432346470051
113,8,12,9,21,5,2.222,4,FALSE,2.7769914910905213,1262055695,8.635618976815085,4552196,5.682652818789669,13491300,5.103231171299597,15735234,4.156122368167986,345067546
114,14,22,15,37,7,2.4,5,FALSE,3.742115929510155,174189301089,70.22564641518493,7638902145,9.383170638338594,1479394764,7.577316011101539,1471973608,6.248022139279674,1970934115
116,10,12,11,23,4,2,5,FALSE,2.774759415372361,7625370196,10.10774027592497,6828830,6.276964302804094,64237841,5.478706096277155,71472313,4.6205431673419035,3678112329
118,12,20,13,33,7,2.462,4,FALSE,3.670585163221668,1806936151,29.701627881686903,205921506,7.16135491972983,341038185,6.183721956352034,370331258,5.189387622992633,43316223497
120,5,8,6,14,3,2.167,5,FALSE,1.5906239012345675,492466810,6.758465323049785,1415507,4.1929012345679,1289091,2.565586419753086,1110577,2.1013374485596708,1176240
121,6,8,7,15,4,2,5,FALSE,1.8999032175543884,1493116474,5.255447064266666,455806,5.056451612903223,2547423,3.054939516129032,2344085,3.452925731432857,26724699
123,4,4,5,9,2,1.6,4,FALSE,1.6096114098360657,140270960,3.103415081521739,145714,3.6158232359230227,437862,2.4308624376336425,381416,2.1397006414825377,398078
124,14,20,15,35,7,2.267,6,FALSE,3.1028911036366504,230697338961,64.25232068249383,1727648021,8.58144271570014,1488086424,5.3204944837340875,1424088150,6.178212678410697,431634734131
126,8,15,9,24,5,2.556,5,FALSE,2.2961561245311333,2420381888,13.030925316864645,25896318,5.525587415372359,15185418,3.466497411389884,14656918,4.067446291871321,379953317
128,10,10,11,21,3,1.818,7,FALSE,2.0368731565787743,27557816722,7.144442981090085,4680928,6.146229884197796,60277024,3.9004920418947564,56384984,3.1519127611270763,62050414
129,6,9,7,16,6,2.143,3,FALSE,2.6104406341463413,94628240,4.867374907875046,402345,4.4445676274944566,2561118,4.4445676274944566,26472410,3.7985957132298593,27146572
131,9,19,10,29,6,2.8,4,FALSE,3.2633272295081968,3730586711,93.00309693735258,3370507509,7.7462580185317185,34635625,7.7462580185317185,1281965788,5.164172012354479,1296274452
132,8,14,9,23,6,2.444,4,FALSE,2.8209801733360487,1189895981,22.784030453656545,24367668,6.405559515324305,14511084,3.825730577334284,13631461,4.6417097937132645,360637672
133,14,18,15,33,5,2.133,6,FALSE,3.014508475489012,87351720015,61.575684205859126,422637148,8.683564356435644,1431442921,5.383809900990099,1348087793,4.283891749174916,1375927444
134,10,13,11,24,4,2.091,6,FALSE,2.294324657007164,14752868217,20.100617325309603,52572259,6.511847379859937,65182103,4.037345375513161,61535451,3.8666711131043416,63884402
135,14,18,15,33,9,2.133,5,FALSE,3.446233921163546,8382188055,16.48077937558798,12695215,7.675793176689233,1412606000,5.245303995752025,1366328072,5.650236643951797,402092926885
136,11,14,12,26,3,2.083,8,FALSE,1.9674653517205138,179888740462,20.645034051408704,52235657,6.927239296033624,148088191,4.065584535820556,138853316,3.3413045122976506,141687822
138,8,11,9,20,4,2.111,5,FALSE,2.233763021090535,2634778268,10.798592969141213,3079292,5.825102880658435,12906171,3.5193329903978054,12016439,3.402075313066949,15256106
139,5,8,6,14,3,2.167,4,FALSE,1.8688528788310772,253052622,6.6201311460053835,756600,4.441910192444762,1202388,2.607208156434969,1049502,3.1987734616298416,7698956
140,12,11,13,24,2,1.769,5,TRUE,3.3431939295101554,50124236265,16.441099474451597,13902481,8.417396401569526,255135332,6.314354244425302,245675536,5.524358069970167,299411426
141,9,13,10,23,5,2.2,4,FALSE,2.953913356379188,916195177,9.995440859571488,7065252,5.59591691273801,29427117,5.541908495401011,63396749,4.609255676611343,1284803610
143,8,10,9,19,4,2,5,FALSE,2.2252958347272,1546460775,10.684269821129902,7271041,5.6394032921810675,12345639,3.407139489026063,11663794,3.3401754502411602,12636393
148,9,12,10,22,4,2.1,5,FALSE,2.377419411522634,1656839964,12.306929765427924,6626721,5.6882716049382696,28985127,3.547839506172839,27511843,3.8974844019646886,1086671739
149,9,13,10,23,4,2.2,5,FALSE,2.469973514137794,4576556391,9.072925393114803,13295029,5.49059139784946,30416164,4.584005376344084,30086291,3.903474711270409,1147153894
150,12,16,13,29,4,2.154,6,FALSE,2.6384115895018074,32691748714,38.938829795100865,222422236,7.107771069789905,313570768,4.437126297995653,302632794,3.7159124205103433,320529397
